,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Current Description
90,mehamn,NO,71.0357,27.8492,40.95,93,100,mist
91,rio grande,BR,-32.035,-52.0986,71.94,63,100,overcast clouds
92,dikson,RU,73.5069,80.5464,-3.71,100,62,broken clouds
93,mataura,NZ,-46.1927,168.8643,39.22,96,0,clear sky
94,longyearbyen,SJ,78.2186,15.6401,21.04,86,75,light snow
95,torbay,CA,47.6666,-52.7314,41.88,92,100,mist
96,kruisfontein,ZA,-34.0033,24.7314,60.89,90,0,clear sky
97,qaanaaq,GL,77.484,-69.3632,-11.15,76,6,clear sky
98,chechat,IN,24.7667,75.8833,91.08,17,42,scattered clouds
99,lovozero,RU,68.005,35.0117,34.0,94,100,overcast clouds
100,hovd,MN,48.0056,91.6419,44.2,27,0,clear sky
101,dingle,PH,10.9995,122.6711,76.03,89,53,broken clouds
102,kahului,US,20.8947,-156.47,78.82,71,40,scattered clouds
103,puerto ayora,EC,-0.7393,-90.3518,78.76,86,71,light rain
104,olafsvik,IS,64.8945,-23.7142,41.95,66,94,overcast clouds
105,leshukonskoye,RU,64.8989,45.7622,33.37,98,100,overcast clouds
106,veliko gradiste,RS,44.7567,21.5136,44.65,87,100,overcast clouds
107,namie,JP,37.4833,141.0,46.71,85,0,clear sky
108,san patricio,US,28.017,-97.5169,86.72,49,23,few clouds
109,sao filipe,CV,14.8961,-24.4956,71.92,76,0,clear sky
110,hit,IQ,33.6416,42.8251,70.95,18,73,broken clouds
111,korla,CN,41.7597,86.1469,57.0,14,6,clear sky
112,ayni,TJ,39.3941,68.5377,63.43,55,61,broken clouds
113,kavieng,PG,-2.5744,150.7967,82.85,72,100,overcast clouds
114,huarmey,PE,-10.0681,-78.1522,72.84,71,3,clear sky
115,bambous virieux,MU,-20.3428,57.7575,77.22,88,31,moderate rain
116,gvardeysk,RU,54.6477,21.0651,39.25,78,70,broken clouds
117,silifke,TR,36.3778,33.9344,67.08,32,100,overcast clouds
118,mar del plata,AR,-38.0023,-57.5575,68.02,83,0,clear sky
119,provideniya,RU,64.3833,-173.3,30.27,96,100,snow
120,lata,PT,40.1629,-8.3327,58.87,82,96,overcast clouds
121,la ronge,CA,55.1001,-105.2842,30.81,78,100,light snow
122,boueni,YT,-12.9025,45.0761,80.58,71,0,clear sky
123,kalnciems,LV,56.8011,23.6097,35.65,71,31,scattered clouds
124,salalah,OM,17.0151,54.0924,82.49,83,40,scattered clouds
125,shingu,JP,33.7333,135.9833,57.74,90,98,overcast clouds
126,fort walton beach,US,30.4058,-86.6188,79.05,82,75,broken clouds
127,college,US,64.8569,-147.8028,32.32,32,20,few clouds
128,coahuayana,MX,18.7333,-103.6833,89.91,50,79,broken clouds
129,coquimbo,CL,-29.9533,-71.3436,60.53,77,40,scattered clouds
130,omsukchan,RU,62.5333,155.8,11.19,96,98,overcast clouds
131,port alfred,ZA,-33.5906,26.891,65.52,81,74,broken clouds
132,richards bay,ZA,-28.783,32.0377,64.11,92,100,overcast clouds
133,chuy,UY,-33.6971,-53.4616,68.95,56,100,overcast clouds
134,faya,SA,18.3851,42.4509,64.92,32,62,broken clouds
135,muisne,EC,0.6,-80.0333,79.27,75,88,overcast clouds
