City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
260,salamiyah,SY,73.81,overcast clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
261,porbandar,IN,80.55,clear sky,21.6422,69.6093,Lords Inn Porbandar
262,oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
265,saint-philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
272,kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
273,barreiras,BR,78.8,moderate rain,-12.1528,-44.99,Hotel Solar das Mangueiras - Barreiras
274,hilo,US,77.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
285,isabela,PH,78.87,overcast clouds,6.7085,121.9711,Isawad Resort
288,maceio,BR,85.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
289,meulaboh,ID,78.66,overcast clouds,4.1363,96.1285,Kost Pria
293,bouna,CI,86.9,light rain,9.2667,-3.0,Hôtel lababa
296,mogadishu,SO,83.23,overcast clouds,2.0371,45.3438,Hotel Juba
299,port-gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
300,chiang klang,TH,76.14,light rain,19.2938,100.8617,Sangthong Resort
306,ifakara,TZ,71.69,light rain,-8.1333,36.6833,Tanzanian Training Centre for International Health
307,zinacantan,MX,73.2,clear sky,16.75,-92.7,Ermis house
308,bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
314,butaritari,KI,81.25,few clouds,3.0707,172.7902,Isles Sunset Lodge
319,cameta,BR,84.43,light rain,-2.2444,-49.4958,Hotel San Juan
320,port keats,AU,78.91,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
327,komsomolskiy,UZ,72.16,clear sky,40.4272,71.7189,Ikathouse
328,trairi,BR,82.72,overcast clouds,-3.2778,-39.2689,janelas do mar
333,teguise,ES,73.62,overcast clouds,29.0605,-13.564,B&B La Casona de Nazaret
335,santa marta,CO,83.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
337,maragogi,BR,82.15,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
338,kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
340,quatre cocos,MU,77.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
346,lhokseumawe,ID,78.3,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
347,esmeraldas,BR,79.66,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
353,chacabuco,AR,73.81,light rain,-34.6417,-60.4739,Club de Pesca Caza y Balneario
354,nueva loja,EC,80.62,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
358,santo antonio do ica,BR,83.35,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
366,touros,BR,84.07,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
367,lang suan,TH,79.23,overcast clouds,9.9456,99.0785,Langsuan Resort
371,balabac,PH,81.05,broken clouds,7.9868,117.0645,Batalla’s Lodging House
373,takoradi,GH,79.63,overcast clouds,4.8845,-1.7554,Raybow International Hotel
374,sorong,ID,82.04,clear sky,-0.8833,131.25,Waigo Splash Hotel
376,alta floresta,BR,80.67,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
381,rach gia,VN,81.16,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
386,lorengau,PG,81.27,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
392,tablas,PH,79.02,overcast clouds,6.6292,122.1747,Hamdie Sulaiman
393,souillac,MU,77.41,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
394,codo,BR,82.74,overcast clouds,-4.4553,-43.8856,Hotel Porto do Sol
397,ternate,ID,80.29,light rain,0.8,127.4,Sahid Bela Ternate Hotel
401,dwarka,IN,80.1,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
402,mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
406,long beach,US,77.88,clear sky,33.767,-118.1892,The Westin Long Beach
411,karratha,AU,84.69,few clouds,-20.7377,116.8463,ibis Styles Karratha
413,dubai,AE,84.45,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
415,muli,MV,84.09,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
417,sao joao da barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
418,general roca,AR,74.61,clear sky,-39.0333,-67.5833,Hotel El Recreo
423,sambava,MG,77.04,light rain,-14.2667,50.1667,Melrose
430,jhinjhana,IN,83.52,clear sky,29.5167,77.2167,Ajanta saiting
432,sabang,ID,83.01,broken clouds,5.8933,95.3214,Hotel Citra
433,kasongo,CD,71.17,broken clouds,-4.45,26.6667,Guest Hôtel
434,kanniyakumari,IN,82.36,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
435,tamiahua,MX,85.96,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
439,karachi,PK,82.22,few clouds,24.9056,67.0822,Sadaat
440,santiago del estero,AR,77.52,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
441,port blair,IN,82.26,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
446,camopi,GF,79.3,moderate rain,3.1655,-52.3158,La pousada
449,viedma,AR,71.58,clear sky,-40.8135,-62.9967,Hotel Cristal
451,bengkulu,ID,75.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
452,wamba,NG,79.38,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
457,galle,LK,81.43,overcast clouds,6.0367,80.217,Amangalla
458,afua,BR,82.22,moderate rain,-0.1567,-50.3867,Hotel Dias
461,riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
465,sao jose da coroa grande,BR,81.75,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
472,san vicente,AR,74.44,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
473,lahaina,US,78.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
474,lat yao,TH,81.28,light rain,15.751,99.7893,โรงแรมสอระ
475,bourail,NC,71.06,overcast clouds,-21.5667,165.4833,Motel Allamanda
476,ilhabela,BR,71.76,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
479,tual,ID,82.76,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
480,wewak,PG,79.21,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
482,soyo,AO,78.76,scattered clouds,-6.1349,12.3689,Hotel Mpampa
488,labuhan,ID,80.11,overcast clouds,-6.8844,112.2051,DoubleFAG
492,paragominas,BR,83.1,heavy intensity rain,-2.9667,-47.4833,INOVA
494,sokoni,TZ,81.91,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
501,campina verde,BR,82.71,clear sky,-19.5356,-49.4864,Hotel Lino
502,mabaruma,GY,85.3,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
511,tautira,PF,80.64,light rain,-17.7333,-149.15,Pension Oaoa
512,reconquista,AR,73.17,clear sky,-29.15,-59.65,Grand Hotel
522,belmonte,BR,78.17,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
523,waingapu,ID,79.14,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
525,san rafael,AR,76.5,clear sky,-34.6177,-68.3301,Hotel San Rafael
526,sehithwa,BW,76.23,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
527,tevaitoa,PF,80.96,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
529,tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
533,semporna,MY,78.39,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
538,funadhoo,MV,84.72,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
541,cleburne,US,73.35,broken clouds,32.3476,-97.3867,"Holiday Inn Express & Suites Cleburne, an IHG Hotel"
542,lafiagi,NG,84.7,light rain,8.8667,5.4167,Bus group international
545,san andres,CO,80.26,few clouds,12.5847,-81.7006,Hotel Arena Blanca
546,oussouye,SN,75.24,few clouds,12.485,-16.5469,Auberge du Routard
558,kalianget,ID,80.82,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
560,samarai,PG,81.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
564,biloxi,US,83.25,scattered clouds,30.396,-88.8853,IP Casino Resort Spa
569,coruripe,BR,83.26,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
570,majene,ID,78.12,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
572,mayumba,GA,78.62,overcast clouds,-3.432,10.6554,LIKWALE LODGE
573,monte alegre,BR,82.2,light rain,-2.0078,-54.0692,Hotel Shekinah
578,noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
580,hambantota,LK,80.4,scattered clouds,6.1241,81.1185,Bungalow 63
581,vanimo,PG,77.88,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
582,ratnagiri,IN,81.32,clear sky,16.9833,73.3,Hotel Landmark
